電圧,電流,電力
1.30,0.375,0.53
1.35,1.030,2.96
1.40,2.85,20.06
1.45,6.82,97.21
1.50,28.56,9690
1.55,98.45,6106
1.60,210.3,17200
1.65,312.5,27000
1.70,385.7,39000
1.75,573,91000
1.80,1827,305000
1.85,2620,436000
1.90,4300,727000
1.95,3600,610000
2.00,2000,330000
