LEDの効率,放射束(W),光束(lm),付加する電力
0,0.0000,+Inf,0.0360
0.01,0.0004,2458.8000,0.0359
0.02,0.0007,1229.4000,0.0358
0.03,0.0011,819.6000,0.0358
0.04,0.0014,614.7000,0.0357
0.05,0.0018,491.7600,0.0356
0.06,0.0022,409.8000,0.0355
0.07,0.0025,351.2571,0.0354
0.08,0.0029,307.3500,0.0353
0.09,0.0032,273.2000,0.0353
0.1,0.0036,245.8800,0.0352
0.11,0.0040,223.5273,0.0351
0.12,0.0043,204.9000,0.0350
0.13,0.0047,189.1385,0.0349
0.14,0.0050,175.6286,0.0348
0.15,0.0054,163.9200,0.0348
0.16,0.0058,153.6750,0.0347
0.17,0.0061,144.6353,0.0346
0.18,0.0065,136.6000,0.0345
0.19,0.0068,129.4105,0.0344
0.2,0.0072,122.9400,0.0343
0.21,0.0076,117.0857,0.0343
0.22,0.0079,111.7636,0.0342
0.23,0.0083,106.9043,0.0341
0.24,0.0086,102.4500,0.0340
0.25,0.0090,98.3520,0.0339
0.26,0.0094,94.5692,0.0338
0.27,0.0097,91.0667,0.0338
0.28,0.0101,87.8143,0.0337
0.29,0.0104,84.7862,0.0336
0.3,0.0108,81.9600,0.0335
0.31,0.0112,79.3161,0.0334
0.32,0.0115,76.8375,0.0334
0.33,0.0119,74.5091,0.0333
0.34,0.0122,72.3176,0.0332
0.35,0.0126,70.2514,0.0331
0.36,0.0130,68.3000,0.0330
0.37,0.0133,66.4541,0.0329
0.38,0.0137,64.7053,0.0329
0.39,0.0140,63.0462,0.0328
0.4,0.0144,61.4700,0.0327
0.41,0.0148,59.9707,0.0326
0.42,0.0151,58.5429,0.0325
0.43,0.0155,57.1814,0.0324
0.44,0.0158,55.8818,0.0324
0.45,0.0162,54.6400,0.0323
0.46,0.0166,53.4522,0.0322
0.47,0.0169,52.3149,0.0321
0.48,0.0173,51.2250,0.0320
0.49,0.0176,50.1796,0.0319
0.5,0.0180,49.1760,0.0319
0.51,0.0184,48.2118,0.0318
0.52,0.0187,47.2846,0.0317
0.53,0.0191,46.3925,0.0316
0.54,0.0194,45.5333,0.0315
0.55,0.0198,44.7055,0.0314
0.56,0.0202,43.9071,0.0314
0.57,0.0205,43.1368,0.0313
0.58,0.0209,42.3931,0.0312
0.59,0.0212,41.6746,0.0311
0.6,0.0216,40.9800,0.0310
0.61,0.0220,40.3082,0.0309
0.62,0.0223,39.6581,0.0309
0.63,0.0227,39.0286,0.0308
0.64,0.0230,38.4187,0.0307
0.65,0.0234,37.8277,0.0306
0.66,0.0238,37.2545,0.0305
0.67,0.0241,36.6985,0.0305
0.68,0.0245,36.1588,0.0304
0.69,0.0248,35.6348,0.0303
0.7,0.0252,35.1257,0.0302
0.71,0.0256,34.6310,0.0301
0.72,0.0259,34.1500,0.0300
0.73,0.0263,33.6822,0.0300
0.74,0.0266,33.2270,0.0299
0.75,0.0270,32.7840,0.0298
0.76,0.0274,32.3526,0.0297
0.77,0.0277,31.9325,0.0296
0.78,0.0281,31.5231,0.0295
0.79,0.0284,31.1241,0.0295
0.8,0.0288,30.7350,0.0294
0.81,0.0292,30.3556,0.0293
0.82,0.0295,29.9854,0.0292
0.83,0.0299,29.6241,0.0291
0.84,0.0302,29.2714,0.0290
0.85,0.0306,28.9271,0.0290
0.86,0.0310,28.5907,0.0289
0.87,0.0313,28.2621,0.0288
0.88,0.0317,27.9409,0.0287
0.89,0.0320,27.6270,0.0286
0.9,0.0324,27.3200,0.0285
0.91,0.0328,27.0198,0.0285
0.92,0.0331,26.7261,0.0284
0.93,0.0335,26.4387,0.0283
0.94,0.0338,26.1574,0.0282
0.95,0.0342,25.8821,0.0281
0.96,0.0346,25.6125,0.0281
0.97,0.0349,25.3485,0.0280
0.98,0.0353,25.0898,0.0279
0.99,0.0356,24.8364,0.0278
