LEDの効率,放射束(W),光束(lm),付加する電力
1,0.0360,24.5880,0.0277
1.01,0.0364,24.8339,0.0276
1.02,0.0367,25.0798,0.0276
1.03,0.0371,25.3256,0.0275
1.04,0.0374,25.5715,0.0274
1.05,0.0378,25.8174,0.0273
1.06,0.0382,26.0633,0.0272
1.07,0.0385,26.3092,0.0271
1.08,0.0389,26.5550,0.0271
1.09,0.0392,26.8009,0.0270
1.1,0.0396,27.0468,0.0269
1.11,0.0400,27.2927,0.0268
1.12,0.0403,27.5386,0.0267
1.13,0.0407,27.7844,0.0266
1.14,0.0410,28.0303,0.0266
1.15,0.0414,28.2762,0.0265
1.16,0.0418,28.5221,0.0264
1.17,0.0421,28.7680,0.0263
1.18,0.0425,29.0138,0.0262
1.19,0.0428,29.2597,0.0261
1.2,0.0432,29.5056,0.0261
1.21,0.0436,29.7515,0.0260
1.22,0.0439,29.9974,0.0259
1.23,0.0443,30.2432,0.0258
1.24,0.0446,30.4891,0.0257
1.25,0.0450,30.7350,0.0256
1.26,0.0454,30.9809,0.0256
1.27,0.0457,31.2268,0.0255
1.28,0.0461,31.4726,0.0254
1.29,0.0464,31.7185,0.0253
1.3,0.0468,31.9644,0.0252
1.31,0.0472,32.2103,0.0252
1.32,0.0475,32.4562,0.0251
1.33,0.0479,32.7020,0.0250
1.34,0.0482,32.9479,0.0249
1.35,0.0486,33.1938,0.0248
1.36,0.0490,33.4397,0.0247
1.37,0.0493,33.6856,0.0247
1.38,0.0497,33.9314,0.0246
1.39,0.0500,34.1773,0.0245
1.4,0.0504,34.4232,0.0244
1.41,0.0508,34.6691,0.0243
1.42,0.0511,34.9150,0.0242
1.43,0.0515,35.1608,0.0242
1.44,0.0518,35.4067,0.0241
1.45,0.0522,35.6526,0.0240
1.46,0.0526,35.8985,0.0239
1.47,0.0529,36.1444,0.0238
1.48,0.0533,36.3902,0.0237
1.49,0.0536,36.6361,0.0237
1.5,0.0540,36.8820,0.0236
1.51,0.0544,37.1279,0.0235
1.52,0.0547,37.3738,0.0234
1.53,0.0551,37.6196,0.0233
1.54,0.0554,37.8655,0.0232
1.55,0.0558,38.1114,0.0232
1.56,0.0562,38.3573,0.0231
1.57,0.0565,38.6032,0.0230
1.58,0.0569,38.8490,0.0229
1.59,0.0572,39.0949,0.0228
1.6,0.0576,39.3408,0.0228
1.61,0.0580,39.5867,0.0227
1.62,0.0583,39.8326,0.0226
1.63,0.0587,40.0784,0.0225
1.64,0.0590,40.3243,0.0224
1.65,0.0594,40.5702,0.0223
1.66,0.0598,40.8161,0.0223
1.67,0.0601,41.0620,0.0222
1.68,0.0605,41.3078,0.0221
1.69,0.0608,41.5537,0.0220
1.7,0.0612,41.7996,0.0219
1.71,0.0616,42.0455,0.0218
1.72,0.0619,42.2914,0.0218
1.73,0.0623,42.5372,0.0217
1.74,0.0626,42.7831,0.0216
1.75,0.0630,43.0290,0.0215
1.76,0.0634,43.2749,0.0214
1.77,0.0637,43.5208,0.0213
1.78,0.0641,43.7666,0.0213
1.79,0.0644,44.0125,0.0212
1.8,0.0648,44.2584,0.0211
1.81,0.0652,44.5043,0.0210
1.82,0.0655,44.7502,0.0209
1.83,0.0659,44.9960,0.0208
1.84,0.0662,45.2419,0.0208
1.85,0.0666,45.4878,0.0207
1.86,0.0670,45.7337,0.0206
1.87,0.0673,45.9796,0.0205
1.88,0.0677,46.2254,0.0204
1.89,0.0680,46.4713,0.0204
1.9,0.0684,46.7172,0.0203
1.91,0.0688,46.9631,0.0202
1.92,0.0691,47.2090,0.0201
1.93,0.0695,47.4548,0.0200
1.94,0.0698,47.7007,0.0199
1.95,0.0702,47.9466,0.0199
1.96,0.0706,48.1925,0.0198
1.97,0.0709,48.4384,0.0197
1.98,0.0713,48.6842,0.0196
1.99,0.0716,48.9301,0.0195
